コマンド,セレクタタイプ,セレクタ値,値／ファイルパス,オプション1,オプション2
navigate,,,https://yuchrszk.blogspot.com/2025/04/blog-post_12.html,wait_time=5,
input,name,入力例1,,
click,class_name,場所1,,wait_time=5,
log_content,class_name,profiletextblock,text,"remark=""自己紹介""",
screenshot,,,evidence_01.png,remark=LoginSuccess,full_page=True
input,name,q,testuser,,
input,name,入力例2,,
click,class_name,場所2,,wait_time=5,
log_content,class_name,profiletextblock,text,"remark=""自己紹介""",
screenshot,,,evidence_01.png,remark=LoginSuccess,full_page=True
input,name,q,testuser,,
input,name,入力例4,,
click,class_name,場所3,,wait_time=5,
log_content,class_name,profiletextblock,text,"remark=""自己紹介""",
screenshot,,,evidence_01.png,remark=LoginSuccess,full_page=True
input,name,q,testuser,,
